,City,Country,Latitude,longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Togur,RU,58.36,82.83,28.63,95,99,8.37
1,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
2,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
3,Vardø,NO,70.37,31.11,33.8,80,75,19.46
4,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.49,80,99,11.5
5,Sistranda,NO,63.73,8.83,44.6,87,75,12.75
6,Tasiilaq,GL,65.61,-37.64,30.74,95,100,11.72
7,Talnakh,RU,69.49,88.4,-2.2,84,40,11.18
8,Khatanga,RU,71.97,102.5,0.16,92,100,7.67
9,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
10,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
11,Auki,SB,-8.77,160.7,80.29,81,74,5.06
12,Amahai,ID,-3.33,128.92,84.99,84,99,2.73
13,Bethel,US,41.37,-73.41,49.28,100,90,5.59
14,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
15,Katsuura,JP,35.13,140.3,55.17,62,75,5.82
16,Nevel'sk,RU,46.67,141.86,19.4,79,40,4.47
17,Castro,BR,-24.79,-50.01,69.15,75,100,6.69
18,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
19,Esperance,AU,-33.87,121.9,53.6,100,90,25.28
20,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
21,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
22,Albany,US,42.6,-73.97,48.97,100,1,2.73
23,Thompson,CA,55.74,-97.86,10.4,100,90,2.24
24,Avarua,CK,-21.21,-159.78,75.2,94,0,14.34
25,Saint George,US,37.1,-113.58,30.85,86,1,2.24
26,Plettenberg Bay,ZA,-34.05,23.37,63.48,57,34,7.99
27,Pevek,RU,69.7,170.31,18.54,95,90,6.29
28,Tuktoyaktuk,CA,69.45,-133.04,-6.36,89,0,8.3
29,Norman Wells,CA,65.28,-126.83,-9.4,76,75,1.86
30,Praia,CV,14.92,-23.51,86.0,58,0,12.75
31,Saldanha,ZA,-33.01,17.94,68.0,61,0,23.04
32,Umm Kaddadah,SD,13.6,26.69,89.53,16,31,12.73
33,Sitka,US,57.05,-135.33,33.8,80,1,5.17
34,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
35,Oddur,SO,4.12,43.89,86.61,37,0,16.82
36,Oranjemund,NA,-28.55,16.43,66.88,50,0,25.3
37,Pangnirtung,CA,66.15,-65.71,6.8,71,20,2.24
38,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
39,Albany,US,42.6,-73.97,48.97,100,1,2.73
40,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
41,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
42,Banda Aceh,ID,5.56,95.32,80.8,81,100,3.62
43,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
44,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
45,Parintins,BR,-2.63,-56.74,80.47,79,100,3.53
46,Mayo,US,38.89,-76.51,56.1,100,40,6.22
47,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
48,Poum,NC,-20.23,164.02,74.91,74,100,11.32
49,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
50,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
51,Marsh Harbour,BS,26.54,-77.06,80.37,83,88,23.76
52,Vila Franca do Campo,PT,37.72,-25.43,66.2,88,75,27.51
53,Vestmannaeyjar,IS,63.44,-20.27,42.8,70,20,17.22
54,Dodoma,TZ,-6.17,35.74,82.4,48,40,11.41
55,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
56,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
57,Majene,ID,-3.54,118.97,80.65,77,4,4.76
58,Saint Paul Harbor,US,57.79,-152.41,30.2,80,1,4.7
59,Ponta do Sol,PT,32.67,-17.1,66.81,60,75,8.05
60,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
61,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
62,Kharitonovo,RU,61.4,47.5,30.83,96,96,7.02
63,Castro,BR,-24.79,-50.01,69.15,75,100,6.69
64,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
65,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
66,Dingle,PH,11.0,122.67,76.86,87,100,3.94
67,San,ML,13.3,-4.9,94.96,10,0,8.14
68,Kalianget,ID,-7.05,113.93,84.61,66,2,6.76
69,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
70,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
71,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
72,Norman Wells,CA,65.28,-126.83,-9.4,76,75,1.86
73,Kribi,CM,2.95,9.92,81.57,79,79,9.8
74,Upernavik,GL,72.79,-56.15,6.66,85,100,9.17
75,Krasnosel'kup,RU,65.7,82.47,4.42,94,94,5.19
76,Albany,US,42.6,-73.97,48.97,100,1,2.73
77,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
78,Torbay,CA,47.67,-52.73,45.72,93,90,14.99
79,Bethel,US,41.37,-73.41,49.28,100,90,5.59
80,Ambon City,ID,-3.7,128.18,80.01,14,89,3.87
81,Honiara,SB,-9.43,159.95,75.2,94,20,3.36
82,Lebu,CL,-37.62,-73.65,56.88,72,20,17.6
83,Albany,US,42.6,-73.97,48.97,100,1,2.73
84,Bonfim,BR,3.08,-59.95,85.26,57,0,7.27
85,Whitecourt,CA,54.15,-115.69,30.34,92,100,6.85
86,Bela Vista,BR,-22.11,-56.52,83.73,64,100,5.57
87,Severo-Kuril'sk,RU,50.68,156.12,36.55,78,100,13.38
88,Grindavik,IS,63.84,-22.43,37.4,86,75,11.41
89,New Norfolk,AU,-42.78,147.06,62.02,57,37,2.62
90,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
91,Imbituba,BR,-28.24,-48.67,69.8,100,90,4.7
92,Airai,TL,-8.93,125.41,64.4,100,100,1.83
93,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
94,Opuwo,NA,-18.06,13.84,98.37,10,72,5.55
95,Ust'-Kulom,RU,61.69,53.69,28.29,97,100,6.2
96,Saint Paul Harbor,US,57.79,-152.41,30.2,80,1,4.7
97,Vostok,RU,46.49,135.88,5.34,94,41,2.51
98,Wilkes-Barre,US,41.25,-75.88,53.87,93,1,4.7
99,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
100,Provideniya,RU,64.38,-173.3,35.6,92,100,25.99
101,Saint George,US,37.1,-113.58,30.85,86,1,2.24
102,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
103,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
104,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
105,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
106,Bethel,US,41.37,-73.41,49.28,100,90,5.59
107,Ponta do Sol,PT,32.67,-17.1,66.81,60,75,8.05
108,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
109,Northam,GB,51.03,-4.22,54.97,93,5,3.0
110,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
111,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
112,Westport,US,41.14,-73.36,51.89,100,1,7.0
113,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
114,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
115,Vestmannaeyjar,IS,63.44,-20.27,42.8,70,20,17.22
116,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
117,Hithadhoo,MV,-0.6,73.08,83.46,76,100,16.31
118,Ippy,CF,6.27,21.22,87.48,42,1,3.0
119,Esmeraldas,BR,-19.76,-44.31,76.41,69,40,3.36
120,Safi,MA,32.3,-9.24,71.62,55,0,13.11
121,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
122,Ancud,CL,-41.87,-73.82,55.53,76,0,11.41
123,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
124,Aklavik,CA,68.22,-135.01,-6.65,76,0,4.7
125,Payo,ID,-3.75,103.64,75.87,84,87,2.24
126,George Town,MY,5.41,100.34,83.23,79,20,3.36
127,Porbandar,IN,21.64,69.61,83.32,40,0,7.47
128,Malinovskiy,RU,61.2,62.84,25.39,93,52,3.6
129,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
130,Puerto del Rosario,ES,28.5,-13.86,73.4,64,20,14.99
131,Sarlat-la-Canéda,FR,44.89,1.22,64.0,70,45,1.99
132,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
133,Severo-Kuril'sk,RU,50.68,156.12,36.55,78,100,13.38
134,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
135,Verkhnyaya Inta,RU,65.98,60.31,14.02,96,7,8.48
136,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
137,Nikolskoye,RU,59.7,30.79,37.69,64,0,8.95
138,Limbe,CM,4.02,9.21,86.4,70,40,3.36
139,Puerto Quijarro,BO,-17.78,-57.77,86.45,47,100,3.96
140,Geraldton,AU,-28.77,114.6,60.8,59,90,4.7
141,Acapulco de Juárez,MX,16.86,-99.89,76.3,82,1,4.03
